"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","CHL.PPPGDP.A","OBS_VALUE","Chile","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","450.892","478.094","491.688","491.062","565.938","619.248","645.508","679.026","714.291","752.358"
"IMF.RES:WEO(9.0.0)","COL.PPPGDP.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","693.117","747.104","807.591","785.738","906.034","1041.594","1089.228","1132.936","1195.855","1258.920"
"IMF.RES:WEO(9.0.0)","CHL.NGDP_RPCH.A","OBS_VALUE","Chile","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.358","3.990","0.634","-6.143","11.315","2.154","0.521","2.644","2.292","2.396"
"IMF.RES:WEO(9.0.0)","BRA.PPPGDP.A","OBS_VALUE","Brazil","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","2980.287","3187.190","3333.776","3359.777","3787.770","4179.563","4474.703","4742.600","4988.607","5229.586"
"IMF.RES:WEO(9.0.0)","CHL.NGDPD.A","OBS_VALUE","Chile","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","276.357","295.428","278.040","254.060","315.411","301.270","335.627","330.210","355.346","407.850"
"IMF.RES:WEO(9.0.0)","CHL.NGSD_NGDP.A","OBS_VALUE","Chile","Gross national savings, Percent of GDP","Annual","Units","19.875","19.634","19.702","19.132","16.679","16.927","20.208","21.776","22.158","23.348"
"IMF.RES:WEO(9.0.0)","GTM.NID_NGDP.A","OBS_VALUE","Guatemala","Gross capital formation, Percent of GDP","Annual","Units","13.596","13.790","14.330","13.501","16.768","16.569","16.475","16.684","16.371","16.657"
"IMF.RES:WEO(9.0.0)","HTI.NID_NGDP.A","OBS_VALUE","Haiti","Gross capital formation, Percent of GDP","Annual","Units","20.212","18.710","20.322","17.703","18.048","15.862","13.854","9.939","12.060","14.226"
"IMF.RES:WEO(9.0.0)","HND.NGSD_NGDP.A","OBS_VALUE","Honduras","Gross national savings, Percent of GDP","Annual","Units","23.575","20.000","20.343","22.518","18.767","19.463","18.205","18.064","24.025","19.995"
"IMF.RES:WEO(9.0.0)","GTM.NGSD_NGDP.A","OBS_VALUE","Guatemala","Gross national savings, Percent of GDP","Annual","Units","14.793","14.676","16.691","18.550","18.935","17.735","19.553","19.571","21.214","19.857"
"IMF.RES:WEO(9.0.0)","HND.NID_NGDP.A","OBS_VALUE","Honduras","Gross capital formation, Percent of GDP","Annual","Units","24.821","26.572","22.968","19.666","24.231","26.326","22.186","22.492","21.613","22.584"
"IMF.RES:WEO(9.0.0)","CRI.PPPGDP.A","OBS_VALUE","Costa Rica","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","100.717","106.835","117.296","111.991","123.332","139.318","151.396","161.489","173.643","184.977"
"IMF.RES:WEO(9.0.0)","DOM.NGDP_RPCH.A","OBS_VALUE","Dominican Republic","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.934","7.098","4.894","-7.929","14.012","5.238","2.192","4.954","2.117","3.720"
"IMF.RES:WEO(9.0.0)","DOM.NGDPD.A","OBS_VALUE","Dominican Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","79.153","85.068","89.237","78.625","95.067","113.813","120.794","124.613","127.895","136.148"
"IMF.RES:WEO(9.0.0)","ECU.NGSD_NGDP.A","OBS_VALUE","Ecuador","Gross national savings, Percent of GDP","Annual","Units","22.093","21.007","20.543","19.678","23.587","24.359","22.719","25.196","25.425","26.352"
"IMF.RES:WEO(9.0.0)","ECU.NGDP_RPCH.A","OBS_VALUE","Ecuador","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.970","1.044","0.165","-9.245","9.422","5.868","1.833","-1.944","3.726","2.510"
"IMF.RES:WEO(9.0.0)","SLV.NGDPD.A","OBS_VALUE","El Salvador","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","24.979","26.021","26.881","24.921","29.043","31.870","33.854","35.365","37.268","39.838"
"IMF.RES:WEO(9.0.0)","SLV.NID_NGDP.A","OBS_VALUE","El Salvador","Gross capital formation, Percent of GDP","Annual","Units","16.677","18.372","18.345","17.212","23.355","24.472","20.685","20.344","25.222","26.818"
"IMF.RES:WEO(9.0.0)","SLV.PPPGDP.A","OBS_VALUE","El Salvador","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","55.706","57.246","60.710","58.560","67.623","74.573","80.069","84.192","89.784","95.404"
"IMF.RES:WEO(9.0.0)","SLV.NGSD_NGDP.A","OBS_VALUE","El Salvador","Gross national savings, Percent of GDP","Annual","Units","14.817","15.070","17.923","18.322","19.049","17.745","19.598","18.556","21.288","23.519"
"IMF.RES:WEO(9.0.0)","DOM.NID_NGDP.A","OBS_VALUE","Dominican Republic","Gross capital formation, Percent of GDP","Annual","Units","21.181","25.202","25.235","24.880","30.275","30.671","27.815","26.998","24.704","24.116"
"IMF.RES:WEO(9.0.0)","ECU.NID_NGDP.A","OBS_VALUE","Ecuador","Gross capital formation, Percent of GDP","Annual","Units","22.480","22.540","21.049","17.585","20.748","22.406","20.728","19.506","19.599","21.140"
"IMF.RES:WEO(9.0.0)","MEX.NGDPD.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1190.721","1256.300","1304.106","1121.065","1316.569","1466.935","1794.410","1830.489","1832.641","2120.855"
"IMF.RES:WEO(9.0.0)","PAN.NGDPD.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","64.328","67.316","69.779","57.060","67.396","76.479","83.812","86.524","90.463","95.024"
"IMF.RES:WEO(9.0.0)","MEX.NGSD_NGDP.A","OBS_VALUE","Mexico","Gross national savings, Percent of GDP","Annual","Units","22.095","21.413","21.852","22.634","21.367","21.496","22.606","22.991","21.996","21.373"
"IMF.RES:WEO(9.0.0)","PAN.PPPGDP.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","137.443","135.303","140.760","115.991","134.415","159.868","177.664","187.078","200.754","214.435"
"IMF.RES:WEO(9.0.0)","MEX.PPPGDP.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","2528.308","2606.266","2636.530","2454.085","2684.659","2982.281","3188.708","3312.004","3425.088","3580.952"
"IMF.RES:WEO(9.0.0)","NIC.NGSD_NGDP.A","OBS_VALUE","Nicaragua","Gross national savings, Percent of GDP","Annual","Units","22.755","22.277","23.763","24.109","21.022","18.856","30.381","28.903","34.327","35.963"
"IMF.RES:WEO(9.0.0)","HTI.NGDPD.A","OBS_VALUE","Haiti","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","15.036","16.454","14.787","14.508","21.017","19.826","19.603","25.285","32.102","39.180"
"IMF.RES:WEO(9.0.0)","HND.PPPGDP.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","53.892","55.011","57.523","54.491","63.828","71.201","76.475","81.159","86.550","91.967"
"IMF.RES:WEO(9.0.0)","HND.NGDPD.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","23.138","24.067","24.883","23.350","28.146","31.425","34.356","37.100","39.694","41.505"
"IMF.RES:WEO(9.0.0)","GTM.PPPGDP.A","OBS_VALUE","Guatemala","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","158.387","167.561","183.966","190.017","208.107","232.236","249.337","264.859","283.589","303.207"
"IMF.RES:WEO(9.0.0)","HTI.NGSD_NGDP.A","OBS_VALUE","Haiti","Gross national savings, Percent of GDP","Annual","Units","18.052","15.828","19.182","18.058","18.465","13.381","10.372","9.365","13.934","14.394"
"IMF.RES:WEO(9.0.0)","GTM.NGDP_RPCH.A","OBS_VALUE","Guatemala","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.080","3.407","4.018","-1.786","8.042","4.185","3.533","3.652","4.118","3.940"
"IMF.RES:WEO(9.0.0)","HTI.NGDP_RPCH.A","OBS_VALUE","Haiti","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.510","1.668","-1.685","-3.343","-1.798","-1.682","-1.864","-4.185","-2.713","-1.700"
"IMF.RES:WEO(9.0.0)","HND.NGDP_RPCH.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.843","3.845","2.560","-8.965","12.565","4.144","3.576","3.554","3.700","3.300"
"IMF.RES:WEO(9.0.0)","GTM.NGDPD.A","OBS_VALUE","Guatemala","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","71.624","73.331","77.156","77.718","86.443","95.642","104.354","113.190","121.113","128.886"
"IMF.RES:WEO(9.0.0)","HTI.PPPGDP.A","OBS_VALUE","Haiti","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","35.986","35.156","35.396","34.892","35.773","37.673","38.339","37.646","37.664","38.084"
"IMF.RES:WEO(9.0.0)","PRY.NID_NGDP.A","OBS_VALUE","Paraguay","Gross capital formation, Percent of GDP","Annual","Units","20.600","22.782","21.685","20.041","24.006","27.760","20.269","23.109","25.475","26.849"
"IMF.RES:WEO(9.0.0)","VEN.NID_NGDP.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross capital formation, Percent of GDP","Annual","Units","5.111","","","","","","","","",""
"IMF.RES:WEO(9.0.0)","PRY.PPPGDP.A","OBS_VALUE","Paraguay","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","88.598","90.877","92.185","94.492","102.943","110.233","120.355","129.101","140.730","150.841"
"IMF.RES:WEO(9.0.0)","URY.NID_NGDP.A","OBS_VALUE","Uruguay","Gross capital formation, Percent of GDP","Annual","Units","15.924","14.853","14.121","16.234","18.197","18.615","17.657","15.923","16.178","15.771"
"IMF.RES:WEO(9.0.0)","PRY.NGDP_RPCH.A","OBS_VALUE","Paraguay","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.810","3.204","-0.402","-0.820","3.995","-0.028","5.286","4.669","6.000","4.200"
"IMF.RES:WEO(9.0.0)","NIC.NGDP_RPCH.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.631","-3.363","-2.897","-2.237","10.454","3.550","4.428","3.581","4.924","3.840"
"IMF.RES:WEO(9.0.0)","PAN.NGDP_RPCH.A","OBS_VALUE","Panama","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.744","3.918","3.103","-17.821","16.467","11.039","7.166","2.748","4.350","3.840"
"IMF.RES:WEO(9.0.0)","NIC.PPPGDP.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","39.321","37.986","38.779","41.191","47.305","52.468","56.819","60.315","65.080","69.515"
"IMF.RES:WEO(9.0.0)","PAN.NID_NGDP.A","OBS_VALUE","Panama","Gross capital formation, Percent of GDP","Annual","Units","41.485","41.199","38.067","23.955","31.299","35.855","37.493","33.534","33.598","36.226"
"IMF.RES:WEO(9.0.0)","NIC.NID_NGDP.A","OBS_VALUE","Nicaragua","Gross capital formation, Percent of GDP","Annual","Units","29.915","24.075","17.831","20.337","23.789","21.744","22.154","24.747","25.759","29.540"
"IMF.RES:WEO(9.0.0)","MEX.NGDP_RPCH.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.872","1.972","-0.393","-8.354","6.048","3.710","3.107","1.351","0.562","1.639"
"IMF.RES:WEO(9.0.0)","NIC.NGDPD.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","13.786","13.025","12.713","12.730","14.208","15.634","17.813","19.697","22.237","24.227"
"IMF.RES:WEO(9.0.0)","PAN.NGSD_NGDP.A","OBS_VALUE","Panama","Gross national savings, Percent of GDP","Annual","Units","35.662","33.315","32.923","24.170","30.085","35.893","34.413","34.191","33.898","34.726"
"IMF.RES:WEO(9.0.0)","MEX.NID_NGDP.A","OBS_VALUE","Mexico","Gross capital formation, Percent of GDP","Annual","Units","23.892","23.477","22.149","20.237","21.707","22.770","23.305","23.903","22.465","21.755"
"IMF.RES:WEO(9.0.0)","ATG.NGDP_RPCH.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.713","6.712","3.172","-18.869","8.173","8.498","3.865","2.541","3.039","2.593"
"IMF.RES:WEO(9.0.0)","VEN.NGDP_RPCH.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-15.671","-19.655","-27.658","-29.999","0.955","8.001","4.002","5.298","1.533","4.043"
"IMF.RES:WEO(9.0.0)","ABW.PPPGDP.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","4.080","4.279","4.209","3.133","3.781","4.480","5.058","5.579","6.059","6.373"
"IMF.RES:WEO(9.0.0)","PRY.NGSD_NGDP.A","OBS_VALUE","Paraguay","Gross national savings, Percent of GDP","Annual","Units","24.277","23.013","21.523","22.428","23.397","21.309","20.410","19.708","21.955","23.861"
"IMF.RES:WEO(9.0.0)","PER.PPPGDP.A","OBS_VALUE","Peru","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","410.405","430.776","455.675","430.198","514.677","566.824","585.737","621.370","660.974","699.083"
"IMF.RES:WEO(9.0.0)","PER.NGDP_RPCH.A","OBS_VALUE","Peru","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.519","3.969","2.240","-10.938","13.421","2.819","-0.350","3.514","3.439","2.820"
"IMF.RES:WEO(9.0.0)","URY.NGDPD.A","OBS_VALUE","Uruguay","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","65.068","65.370","62.229","53.557","60.742","71.247","79.214","82.323","85.575","96.092"
"IMF.RES:WEO(9.0.0)","VEN.NGDPD.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","115.882","102.021","73.014","42.838","56.615","89.013","102.378","120.566","99.661","111.303"
"IMF.RES:WEO(9.0.0)","URY.NGDP_RPCH.A","OBS_VALUE","Uruguay","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.740","0.165","0.928","-7.357","5.844","4.606","0.762","3.326","1.785","1.800"
"IMF.RES:WEO(9.0.0)","URY.PPPGDP.A","OBS_VALUE","Uruguay","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","79.990","82.781","87.589","87.439","99.971","112.014","117.043","123.938","129.729","135.847"
"IMF.RES:WEO(9.0.0)","PER.NGDPD.A","OBS_VALUE","Peru","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","220.090","229.550","236.263","209.057","228.704","248.179","272.755","295.220","341.025","380.900"
"IMF.RES:WEO(9.0.0)","PER.NID_NGDP.A","OBS_VALUE","Peru","Gross capital formation, Percent of GDP","Annual","Units","21.324","21.759","21.337","19.612","21.974","21.956","19.303","19.626","20.222","20.362"
"IMF.RES:WEO(9.0.0)","URY.NGSD_NGDP.A","OBS_VALUE","Uruguay","Gross national savings, Percent of GDP","Annual","Units","15.935","14.394","15.411","15.592","15.763","15.088","14.659","15.151","15.657","14.974"
"IMF.RES:WEO(9.0.0)","PER.NGSD_NGDP.A","OBS_VALUE","Peru","Gross national savings, Percent of GDP","Annual","Units","20.411","20.520","20.636","20.365","19.748","17.938","19.625","21.866","23.365","23.774"
"IMF.RES:WEO(9.0.0)","PRY.NGDPD.A","OBS_VALUE","Paraguay","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","38.997","40.225","37.925","35.432","39.937","41.841","43.140","44.739","49.358","60.542"
"IMF.RES:WEO(9.0.0)","DMA.NGDPD.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.522","0.555","0.612","0.504","0.555","0.607","0.659","0.689","0.744","0.791"
"IMF.RES:WEO(9.0.0)","GRD.NID_NGDP.A","OBS_VALUE","Grenada","Gross capital formation, Percent of GDP","Annual","Units","20.940","24.285","24.919","32.419","30.121","29.937","32.812","31.976","32.407","33.136"
"IMF.RES:WEO(9.0.0)","DMA.NGDP_RPCH.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-6.619","3.548","5.502","-16.605","6.892","5.584","4.712","3.539","4.542","3.137"
"IMF.RES:WEO(9.0.0)","BRB.NGDPD.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5.847","6.001","6.167","5.403","5.949","6.887","7.223","7.598","8.017","8.483"
"IMF.RES:WEO(9.0.0)","DMA.NID_NGDP.A","OBS_VALUE","Dominica","Gross capital formation, Percent of GDP","Annual","Units","29.052","32.441","23.471","24.040","35.260","37.252","37.768","40.197","35.448","26.054"
"IMF.RES:WEO(9.0.0)","VEN.NGSD_NGDP.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross national savings, Percent of GDP","Annual","Units","12.624","","","","","","","","",""
"IMF.RES:WEO(9.0.0)","ATG.NGSD_NGDP.A","OBS_VALUE","Antigua and Barbuda","Gross national savings, Percent of GDP","Annual","Units","18.235","24.256","29.948","22.434","28.412","25.165","23.833","25.941","24.407","24.464"
"IMF.RES:WEO(9.0.0)","BHS.NID_NGDP.A","OBS_VALUE","Bahamas, The","Gross capital formation, Percent of GDP","Annual","Units","26.646","24.309","25.794","21.950","25.963","26.357","24.418","26.465","26.214","26.403"
"IMF.RES:WEO(9.0.0)","ATG.NID_NGDP.A","OBS_VALUE","Antigua and Barbuda","Gross capital formation, Percent of GDP","Annual","Units","25.932","38.250","36.453","38.001","45.990","40.247","36.738","33.398","36.053","36.233"
"IMF.RES:WEO(9.0.0)","BHS.NGDPD.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.447","12.819","13.277","10.363","12.037","13.897","15.271","15.833","16.508","17.042"
"IMF.RES:WEO(9.0.0)","ABW.NGDPD.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3.092","3.276","3.347","2.471","2.881","3.324","3.871","4.285","4.521","4.671"
"IMF.RES:WEO(9.0.0)","ATG.NGDPD.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.535","1.662","1.726","1.412","1.602","1.857","2.054","2.162","2.273","2.385"
"IMF.RES:WEO(9.0.0)","ATG.PPPGDP.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1.938","2.230","2.426","2.055","2.378","2.763","2.976","3.127","3.314","3.497"
"IMF.RES:WEO(9.0.0)","VEN.PPPGDP.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","373.568","307.018","225.769","160.167","169.075","195.590","210.944","227.633","237.679","254.372"
"IMF.RES:WEO(9.0.0)","BHS.PPPGDP.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","13.387","13.835","14.254","10.769","12.313","14.624","15.627","16.556","17.502","18.382"
"IMF.RES:WEO(9.0.0)","ABW.NGDP_RPCH.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.493","3.213","1.225","-23.898","14.731","10.636","8.853","7.643","5.608","2.250"
"IMF.RES:WEO(9.0.0)","BHS.NGDP_RPCH.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.371","2.398","-0.839","-20.090","17.587","10.877","3.049","3.379","2.800","2.100"
"IMF.RES:WEO(9.0.0)","ABW.NGSD_NGDP.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross national savings, Percent of GDP","Annual","Units","21.108","20.394","18.097","8.379","15.367","20.787","28.232","32.302","31.764","30.871"
"IMF.RES:WEO(9.0.0)","BHS.NGSD_NGDP.A","OBS_VALUE","Bahamas, The","Gross national savings, Percent of GDP","Annual","Units","13.366","14.953","23.677","-0.046","5.742","17.488","17.418","18.848","16.263","17.326"
"IMF.RES:WEO(9.0.0)","JAM.NGDPD.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","15.726","16.767","17.002","15.079","15.982","18.710","21.299","21.900","22.313","23.028"
"IMF.RES:WEO(9.0.0)","JAM.NGSD_NGDP.A","OBS_VALUE","Jamaica","Gross national savings, Percent of GDP","Annual","Units","21.493","22.182","22.770","18.556","19.249","23.371","27.331","23.763","19.216","14.926"
"IMF.RES:WEO(9.0.0)","BLZ.NGSD_NGDP.A","OBS_VALUE","Belize","Gross national savings, Percent of GDP","Annual","Units","11.753","9.530","9.852","19.953","17.710","14.149","16.016","16.380","15.639","14.657"
"IMF.RES:WEO(9.0.0)","BLZ.PPPGDP.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","3.404","3.611","4.051","3.767","4.632","5.420","5.649","5.992","6.331","6.656"
"IMF.RES:WEO(9.0.0)","GUY.NGDP_RPCH.A","OBS_VALUE","Guyana","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.734","4.441","5.353","43.480","20.060","63.334","33.769","43.776","19.309","16.168"
"IMF.RES:WEO(9.0.0)","BLZ.NGDPD.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.266","2.286","2.381","2.047","2.429","2.847","3.052","3.204","3.327","3.450"
"IMF.RES:WEO(9.0.0)","JAM.NGDP_RPCH.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.293","2.516","1.809","-8.304","5.705","6.439","2.746","-0.535","-0.060","-1.152"
"IMF.RES:WEO(9.0.0)","DMA.NGSD_NGDP.A","OBS_VALUE","Dominica","Gross national savings, Percent of GDP","Annual","Units","18.023","-14.211","-14.661","-12.925","1.743","9.994","-2.606","2.393","-2.524","-7.170"
"IMF.RES:WEO(9.0.0)","GRD.PPPGDP.A","OBS_VALUE","Grenada","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1.736","1.848","1.907","1.671","1.784","2.051","2.223","2.333","2.505","2.657"
"IMF.RES:WEO(9.0.0)","BRB.NGSD_NGDP.A","OBS_VALUE","Barbados","Gross national savings, Percent of GDP","Annual","Units","12.457","10.864","13.487","12.887","9.796","10.028","9.754","14.267","10.862","11.199"
"IMF.RES:WEO(9.0.0)","GRD.NGDPD.A","OBS_VALUE","Grenada","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.126","1.167","1.213","1.043","1.122","1.224","1.336","1.351","1.420","1.483"
"IMF.RES:WEO(9.0.0)","BRB.PPPGDP.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","5.315","5.551","5.620","4.660","4.990","6.197","6.543","6.932","7.324","7.719"
"IMF.RES:WEO(9.0.0)","BRB.NID_NGDP.A","OBS_VALUE","Barbados","Gross capital formation, Percent of GDP","Annual","Units","15.683","14.221","14.464","18.018","17.698","17.909","17.543","18.170","18.375","18.180"
"IMF.RES:WEO(9.0.0)","BRB.NGDP_RPCH.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.655","-0.252","0.241","-17.406","8.020","15.945","1.814","3.367","2.743","2.465"
"IMF.RES:WEO(9.0.0)","JAM.NID_NGDP.A","OBS_VALUE","Jamaica","Gross capital formation, Percent of GDP","Annual","Units","22.342","23.132","24.032","19.487","18.205","23.988","24.550","20.708","17.896","20.798"
"IMF.RES:WEO(9.0.0)","GRD.NGSD_NGDP.A","OBS_VALUE","Grenada","Gross national savings, Percent of GDP","Annual","Units","9.476","11.527","14.590","16.313","15.741","17.809","12.517","10.089","14.644","14.826"
"IMF.RES:WEO(9.0.0)","GRD.NGDP_RPCH.A","OBS_VALUE","Grenada","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.439","4.361","0.677","-13.757","4.687","7.321","4.527","2.400","4.410","3.112"
"IMF.RES:WEO(9.0.0)","DMA.PPPGDP.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","0.805","0.907","1.032","0.917","1.048","1.185","1.287","1.366","1.468","1.558"
"IMF.RES:WEO(9.0.0)","KNA.NID_NGDP.A","OBS_VALUE","St. Kitts and Nevis","Gross capital formation, Percent of GDP","Annual","Units","30.000","30.000","30.000","30.000","30.000","27.000","27.000","27.000","27.000","27.000"
"IMF.RES:WEO(9.0.0)","KNA.PPPGDP.A","OBS_VALUE","St. Kitts and Nevis","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1.392","1.427","1.497","1.256","1.236","1.463","1.587","1.654","1.727","1.812"
"IMF.RES:WEO(9.0.0)","KNA.NGDPD.A","OBS_VALUE","St. Kitts and Nevis","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.057","1.061","1.088","0.867","0.843","0.963","1.034","1.051","1.082","1.143"
"IMF.RES:WEO(9.0.0)","PRI.NID_NGDP.A","OBS_VALUE","Puerto Rico","Gross capital formation, Percent of GDP","Annual","Units","7.793","15.331","15.349","10.881","11.368","14.815","14.387","14.780","15.351","15.676"
"IMF.RES:WEO(9.0.0)","JAM.PPPGDP.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","29.471","30.324","30.618","27.640","29.599","33.746","35.955","36.651","37.668","38.301"
"IMF.RES:WEO(9.0.0)","GUY.NGDPD.A","OBS_VALUE","Guyana","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","4.748","4.788","5.174","5.471","8.041","14.718","16.919","24.659","27.097","33.961"
"IMF.RES:WEO(9.0.0)","GUY.NID_NGDP.A","OBS_VALUE","Guyana","Gross capital formation, Percent of GDP","Annual","Units","13.090","12.895","13.400","9.111","8.447","9.836","14.701","13.661","15.553","13.910"
"IMF.RES:WEO(9.0.0)","PRI.NGDPD.A","OBS_VALUE","Puerto Rico","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","103.446","100.958","105.126","103.131","106.427","113.844","118.375","125.842","126.525","129.012"
