"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","G119.NID_NGDP.A","OBS_VALUE","G7","Gross capital formation, Percent of GDP","Annual","Units","21.719","22.097","22.168","21.937","22.335","22.949","22.250","21.963","21.907","21.966"
"IMF.RES:WEO(9.0.0)","GBR.PPPGDP.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","3063.422","3157.647","3364.310","3251.564","3601.593","4056.416","4217.932","4369.680","4553.105","4720.863"
"IMF.RES:WEO(9.0.0)","USA.PPPGDP.A","OBS_VALUE","United States","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","19612.100","20656.525","21539.975","21375.275","23725.650","26054.600","27811.500","29298.025","30767.075","32383.920"
"IMF.RES:WEO(9.0.0)","FRA.PPPGDP.A","OBS_VALUE","France","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","2975.790","3114.876","3445.275","3345.026","3656.802","4026.451","4243.080","4396.548","4563.230","4734.241"
"IMF.RES:WEO(9.0.0)","DEU.NGDPD.A","OBS_VALUE","Germany","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3764.023","4057.272","3960.332","3938.244","4358.147","4204.327","4563.523","4684.182","5048.059","5452.858"
"IMF.RES:WEO(9.0.0)","BEL.NGSD_NGDP.A","OBS_VALUE","Belgium","Gross national savings, Percent of GDP","Annual","Units","25.033","24.637","24.815","24.984","26.284","25.341","25.513","24.118","23.513","23.721"
"IMF.RES:WEO(9.0.0)","GX123.NGDPD.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","7335.954","7729.227","7597.149","7556.022","8795.765","8872.740","8978.696","9329.259","9860.112","10826.829"
"IMF.RES:WEO(9.0.0)","GX123.PPPGDP.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","8525.439","8969.168","9380.694","9502.310","10691.905","11766.380","12400.311","13014.401","13773.352","14531.803"
"IMF.RES:WEO(9.0.0)","AUT.NGDP_RPCH.A","OBS_VALUE","Austria","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.272","2.484","1.755","-6.318","4.923","5.331","-0.786","-0.659","0.616","0.682"
"IMF.RES:WEO(9.0.0)","GX123.NID_NGDP.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross capital formation, Percent of GDP","Annual","Units","25.851","25.911","25.517","25.961","26.337","26.402","25.817","25.266","25.301","25.341"
"IMF.RES:WEO(9.0.0)","AUT.NGSD_NGDP.A","OBS_VALUE","Austria","Gross national savings, Percent of GDP","Annual","Units","26.242","26.744","27.885","29.020","29.392","27.943","27.610","25.104","24.661","23.702"
"IMF.RES:WEO(9.0.0)","AUT.NID_NGDP.A","OBS_VALUE","Austria","Gross capital formation, Percent of GDP","Annual","Units","24.978","25.898","25.509","25.653","27.657","29.237","26.004","23.577","23.627","23.264"
"IMF.RES:WEO(9.0.0)","BEL.NID_NGDP.A","OBS_VALUE","Belgium","Gross capital formation, Percent of GDP","Annual","Units","24.332","25.552","24.676","24.069","24.447","27.287","25.320","24.496","25.643","25.723"
"IMF.RES:WEO(9.0.0)","GX123.NGSD_NGDP.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross national savings, Percent of GDP","Annual","Units","30.574","30.288","30.001","31.221","33.342","33.322","31.431","31.992","32.421","31.754"
"IMF.RES:WEO(9.0.0)","BEL.NGDPD.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","500.733","542.885","536.787","529.269","598.920","591.551","651.518","671.168","724.917","776.730"
"IMF.RES:WEO(9.0.0)","BEL.PPPGDP.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","571.671","599.541","651.570","647.546","716.918","798.289","842.017","872.158","905.616","937.719"
