scenario_code,scenario,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining,combined_model,combined_model_label,projected_pathway,trajectory_label,analysis,ssp,s_mil_2025_assumed,cum_E_mil_Gt
S3,"NATO→5%, nonNATO→3.5%",119.90285237191283,88.7281107552155,68.2523928886273,8.450296262401476,31.7476071113727,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP2-4.5,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP2-4.5 — S3: NATO 5%; non-NATO 3.5%,SA1_AR6_fixed_split,SSP2-4.5,0.055,
S0,Baseline,102.72526102656718,76.01669315965971,58.47437935358439,7.2396850628247345,41.52562064641561,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP3-7.0,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP3-7.0 — S0: Baseline,SA1_AR6_fixed_split,SSP3-7.0,0.055,
S1,"NATO→3.5%, nonNATO holds",116.4636457501302,86.18309785509635,66.29469065776642,8.207914081437748,33.705309342233576,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP3-7.0,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP3-7.0 — S1: NATO 3.5%,SA1_AR6_fixed_split,SSP3-7.0,0.055,
S2,"NATO→3.5%, nonNATO→3.5%",136.9480208999306,101.34153546594865,77.95502728149897,9.651574806280824,22.04497271850103,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP3-7.0,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP3-7.0 — S2: NATO/non-NATO 3.5%,SA1_AR6_fixed_split,SSP3-7.0,0.055,
S3,"NATO→5%, nonNATO→3.5%",162.70749225661126,120.40354426989234,92.61811097684026,11.467004216180223,7.381889023159744,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP3-7.0,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP3-7.0 — S3: NATO 5%; non-NATO 3.5%,SA1_AR6_fixed_split,SSP3-7.0,0.055,
S0,Baseline,113.2129771935516,83.77760312322818,64.44431009479091,7.9788193450693505,35.55568990520909,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP5-8.5,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP5-8.5 — S0: Baseline,SA1_AR6_fixed_split,SSP5-8.5,0.055,
S1,"NATO→3.5%, nonNATO holds",128.65782766098187,95.20679246912658,73.23599420702044,9.067313568488245,26.76400579297956,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP5-8.5,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP5-8.5 — S1: NATO 3.5%,SA1_AR6_fixed_split,SSP5-8.5,0.055,
S2,"NATO→3.5%, nonNATO→3.5%",151.68659832605024,112.24808276127717,86.3446790471363,10.690293596312113,13.655320952863704,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP5-8.5,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP5-8.5 — S2: NATO/non-NATO 3.5%,SA1_AR6_fixed_split,SSP5-8.5,0.055,
S3,"NATO→5%, nonNATO→3.5%",180.64569295248197,133.67781278483665,102.82908675756664,12.731220265222538,-2.8290867575666425,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP5-8.5,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP5-8.5 — S3: NATO 5%; non-NATO 3.5%,SA1_AR6_fixed_split,SSP5-8.5,0.055,
S0,Baseline,24.98134129715314,18.486192559893322,14.220148122994864,1.760589767608888,85.77985187700514,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-1.9,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-1.9 — S0: Baseline,SA2_AR6_dynamic_v32_split,SSP1-1.9,0.055,
