combined_model,combined_model_label,projected_pathway,ar6_model,ar6_scenario,scenario_code,scenario,trajectory_label
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP2-4.5,MESSAGE-GLOBIOM 1.0,SSP2-45,S3,"NATO→5%, nonNATO→3.5%",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP2-4.5 — MESSAGE-GLOBIOM 1.0 / SSP2-45 — S3: NATO 5%; non-NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP3-7.0,MIGRATION 1.0,SSP3-7.0_zeromig,S0,Baseline,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP3-7.0 — MIGRATION 1.0 / SSP3-7.0_zeromig — S0: Baseline
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP3-7.0,MIGRATION 1.0,SSP3-7.0_zeromig,S1,"NATO→3.5%, nonNATO holds",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP3-7.0 — MIGRATION 1.0 / SSP3-7.0_zeromig — S1: NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP3-7.0,MIGRATION 1.0,SSP3-7.0_zeromig,S2,"NATO→3.5%, nonNATO→3.5%",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP3-7.0 — MIGRATION 1.0 / SSP3-7.0_zeromig — S2: NATO/non-NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP3-7.0,MIGRATION 1.0,SSP3-7.0_zeromig,S3,"NATO→5%, nonNATO→3.5%",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP3-7.0 — MIGRATION 1.0 / SSP3-7.0_zeromig — S3: NATO 5%; non-NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP5-8.5,MIGRATION 1.0,SSP5-8.5_zeromig,S0,Baseline,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP5-8.5 — MIGRATION 1.0 / SSP5-8.5_zeromig — S0: Baseline
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP5-8.5,MIGRATION 1.0,SSP5-8.5_zeromig,S1,"NATO→3.5%, nonNATO holds",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP5-8.5 — MIGRATION 1.0 / SSP5-8.5_zeromig — S1: NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP5-8.5,MIGRATION 1.0,SSP5-8.5_zeromig,S2,"NATO→3.5%, nonNATO→3.5%",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP5-8.5 — MIGRATION 1.0 / SSP5-8.5_zeromig — S2: NATO/non-NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP5-8.5,MIGRATION 1.0,SSP5-8.5_zeromig,S3,"NATO→5%, nonNATO→3.5%",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP5-8.5 — MIGRATION 1.0 / SSP5-8.5_zeromig — S3: NATO 5%; non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-1.9,IMAGE 3.0.1,SSP1-19,S0,Baseline,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-1.9 — IMAGE 3.0.1 / SSP1-19 — S0: Baseline
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-1.9,IMAGE 3.0.1,SSP1-19,S1,"NATO→3.5%, nonNATO holds",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-1.9 — IMAGE 3.0.1 / SSP1-19 — S1: NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-1.9,IMAGE 3.0.1,SSP1-19,S2,"NATO→3.5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-1.9 — IMAGE 3.0.1 / SSP1-19 — S2: NATO/non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-1.9,IMAGE 3.0.1,SSP1-19,S3,"NATO→5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-1.9 — IMAGE 3.0.1 / SSP1-19 — S3: NATO 5%; non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-2.6,IMAGE 3.0.1,SSP1-26,S0,Baseline,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-2.6 — IMAGE 3.0.1 / SSP1-26 — S0: Baseline
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-2.6,IMAGE 3.0.1,SSP1-26,S1,"NATO→3.5%, nonNATO holds",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-2.6 — IMAGE 3.0.1 / SSP1-26 — S1: NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-2.6,IMAGE 3.0.1,SSP1-26,S2,"NATO→3.5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-2.6 — IMAGE 3.0.1 / SSP1-26 — S2: NATO/non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-2.6,IMAGE 3.0.1,SSP1-26,S3,"NATO→5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-2.6 — IMAGE 3.0.1 / SSP1-26 — S3: NATO 5%; non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP2-4.5,MESSAGE-GLOBIOM 1.0,SSP2-45,S0,Baseline,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP2-4.5 — MESSAGE-GLOBIOM 1.0 / SSP2-45 — S0: Baseline
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP2-4.5,MESSAGE-GLOBIOM 1.0,SSP2-45,S1,"NATO→3.5%, nonNATO holds",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP2-4.5 — MESSAGE-GLOBIOM 1.0 / SSP2-45 — S1: NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP2-4.5,MESSAGE-GLOBIOM 1.0,SSP2-45,S2,"NATO→3.5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP2-4.5 — MESSAGE-GLOBIOM 1.0 / SSP2-45 — S2: NATO/non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP2-4.5,MESSAGE-GLOBIOM 1.0,SSP2-45,S3,"NATO→5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP2-4.5 — MESSAGE-GLOBIOM 1.0 / SSP2-45 — S3: NATO 5%; non-NATO 3.5%
