year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,model_family,cum_E_mil_Gt,E_mil_S0_Gt,incremental_E_mil_vs_S0_Gt,cum_incremental_E_mil_vs_S0_Gt,combined_model,combined_model_label,projected_pathway,trajectory_label,analysis,ssp,GDP_world,GDP_NATO,GDP_nonNATO,s_NATO_GDP,economy_GHG_intensity,intensity_multiplier_q,E_world_AR6_Gt,GDP_model_basis,bloc_split_basis,ar6_model,ar6_scenario,world_GHG_minus_AR6_Gt,E_world_S0_Gt,incremental_E_world_vs_S0_Gt,cum_incremental_E_world_vs_S0_Gt,GDP_valuation,GDP_world_2025_calibrated,s_NATO_GDP_2025_calibrated,m_nonNATO_2025_calibrated
2025,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.587489462,1.341760538,2.9292499999999997,1.023299479388922,0.45082424616435024,2.9974999999999996,51.5025,54.5,0.05499999999999999,Original model reference case,2.9974999999999996,2.9974999999999996,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2026,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.63511414586,1.3820133541400001,3.0171275,1.0130664845950328,0.44631600370270674,3.0565507499999995,52.51709925,55.57365,0.05499999999999999,Original model reference case,6.054050749999999,3.0565507499999995,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2027,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.6841675702358,1.4234737547641998,3.107641325,1.0029358197490825,0.4418528436656797,3.116764799775,53.55168610522499,56.668450904999986,0.055000000000000014,Original model reference case,9.170815549775,3.116764799775,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2028,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.734692597342874,1.466177967407126,3.2008705647499998,0.9929064615515917,0.4374343152290229,3.178165066330567,54.60665432149793,57.78481938782849,0.055,Original model reference case,12.348980616105566,3.178165066330567,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2029,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.7867333752631605,1.51016330642934,3.2968966816925005,0.9829773969360758,0.43305997207673264,3.24077491813728,55.68240541163145,58.923180329768726,0.055,Original model reference case,15.589755534242846,3.24077491813728,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2030,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.8403353765210553,1.5554682056222198,3.395803582143275,0.973147622966715,0.42872937235596525,3.3046181840245836,56.77934879824058,60.08396698226516,0.055,Original model reference case,18.89437371826743,3.3046181840245836,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2031,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.8955454378166867,1.6021322517908867,3.497677689607573,0.9634161467370479,0.4244420786324057,3.3697191622498686,57.89790196956591,61.26762113181577,0.055000000000000014,Original model reference case,22.2640928805173,3.3697191622498686,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2032,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.9524118009511877,1.6501962193446136,3.6026080202958015,0.9537819852696773,0.4201976578460816,3.436102629746191,59.03849063836638,62.47459326811257,0.05499999999999999,Original model reference case,25.70019551026349,3.436102629746191,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2033,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.0109841549797234,1.6997021059249517,3.710686260904675,0.9442441654169805,0.41599568126762076,3.503793851552191,60.20154890394218,63.70534275549437,0.05500000000000001,Original model reference case,29.20398936181568,3.503793851552191,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
2034,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.071313679629115,1.7506931691027006,3.8220068487318155,0.9348017237628108,0.41183572445494454,3.5728185904277696,61.38751941734985,64.96033800777762,0.05500000000000001,Original model reference case,32.77680795224345,3.5728185904277696,0.0,0.0,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,,,,,,,,,,,,,,,,,,
