ssp,scenario_code,E_mil_2035_Gt,military_share_2035_pct,cum_E_mil_2050_Gt,cum_incremental_E_mil_vs_S0_2050_Gt,world_minus_AR6_2050_Gt
SSP1-1.9,S0,1.1227238881871386,5.5,27.097509737535912,0.0,8.881784197001252e-16
SSP1-1.9,S1,1.3030063992564642,6.351785100176046,29.921369099725812,2.8238593621898986,0.037361805041212115
SSP1-1.9,S2,1.5718134434614648,7.6063829787209505,34.13183457360083,7.034324836064913,0.09306946253789317
SSP1-1.9,S3,1.90984315171645,9.158378281666133,39.42657087770689,12.329061140170971,0.16312284699016377
SSP1-2.6,S0,2.219942937618257,5.5,54.00944094712279,0.0,3.552713678800501e-15
SSP1-2.6,S1,2.5764124947688263,6.351785100176048,60.38888462264142,6.37944367551863,0.12652640679388583
SSP1-2.6,S2,3.1079201126645133,7.606382978720952,69.90084109538562,15.891400148262829,0.31518136407404995
SSP1-2.6,S3,3.77630053232183,9.158378281666135,81.86229798698304,27.852857039860254,0.5524183768125823
SSP2-4.5,S0,3.082379881428271,5.499999999999997,79.16942121889097,0.0,0.0
SSP2-4.5,S1,3.5773361132679145,6.351785100176046,89.18870268397626,10.019281465085278,0.26485017155507506
SSP2-4.5,S2,4.315331833998127,7.60638297872095,104.12777480868093,24.95835358978995,0.6597503277079397
SSP2-4.5,S3,5.243374768697456,9.158378281666131,122.91392755571582,43.74450633682484,1.156344399373694
SSP3-7.0,S0,4.065351465783354,5.5,106.34926038668466,0.0,0.0
SSP3-7.0,S1,4.718149342752212,6.351785100176046,120.08764511024768,13.738384723563009,0.3925115923611173
SSP3-7.0,S2,5.691492052094779,7.606382978720953,140.57202026004808,34.22275987336342,0.9777590483288208
SSP3-7.0,S3,6.915488071411388,9.158378281666133,166.33149161672873,59.98223123004407,1.7137182840059353
SSP5-8.5,S0,4.2920667535764245,5.5,116.76565993066636,0.0,1.4210854715202004e-14
SSP5-8.5,S1,4.9812696645979,6.351785100176047,132.21051039809663,15.444850467430257,0.49444196053607925
SSP5-8.5,S2,6.008893455004971,7.606382978720952,155.239281063165,38.47362113249864,1.2316708861500274
SSP5-8.5,S3,7.301148913170238,9.158378281666133,184.19837568959673,67.43271575893037,2.158749562155151
