analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining
SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,15.047584320514318,11.135212397180595,8.565547997831226,1.0604964187791042,91.43445200216877
SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.055,25.079307200857198,18.558687328634328,14.275913329718714,1.7674940312985075,85.72408667028128
SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.07,31.919118255636434,23.620147509170963,18.169344237823815,2.249537858016282,81.83065576217618
SA1_AR6_fixed_split,SSP1-1.9,S1,"NATO→3.5%, nonNATO holds",0.033,16.741899937828258,12.38900595399291,9.530004579994547,1.1799053289517056,90.46999542000546
SA1_AR6_fixed_split,SSP1-1.9,S1,"NATO→3.5%, nonNATO holds",0.055,27.903166563047098,20.64834325665485,15.88334096665758,1.9665088815861764,84.11665903334242
SA1_AR6_fixed_split,SSP1-1.9,S1,"NATO→3.5%, nonNATO holds",0.07,35.51312108024176,26.2797095993789,20.215161230291464,2.5028294856551336,79.78483876970853
SA1_AR6_fixed_split,SSP1-1.9,S2,"NATO→3.5%, nonNATO→3.5%",0.033,19.268179222153268,14.258452624393419,10.96804048030263,1.3579478689898494,89.03195951969737
SA1_AR6_fixed_split,SSP1-1.9,S2,"NATO→3.5%, nonNATO→3.5%",0.055,32.11363203692211,23.764087707322364,18.28006746717105,2.2632464483164156,81.71993253282895
SA1_AR6_fixed_split,SSP1-1.9,S2,"NATO→3.5%, nonNATO→3.5%",0.07,40.87189531971905,30.245202536592096,23.26554041276315,2.880495479675438,76.73445958723684
SA1_AR6_fixed_split,SSP1-1.9,S3,"NATO→5%, nonNATO→3.5%",0.033,22.4450210046169,16.609315543416507,12.776396571858852,1.5818395755634769,87.22360342814115
SA1_AR6_fixed_split,SSP1-1.9,S3,"NATO→5%, nonNATO→3.5%",0.055,37.408368341028165,27.68219257236084,21.293994286431417,2.636399292605794,78.70600571356859
SA1_AR6_fixed_split,SSP1-1.9,S3,"NATO→5%, nonNATO→3.5%",0.07,47.610650615854034,35.23188145573199,27.10144727363999,3.3554172814982843,72.89855272636001
SA1_AR6_fixed_split,SSP1-2.6,S0,Baseline,0.033,30.780917766792715,22.77787914742661,17.52144549802047,2.169321823564439,82.47855450197953
SA1_AR6_fixed_split,SSP1-2.6,S0,Baseline,0.055,51.3015296113212,37.96313191237769,29.202409163367452,3.615536372607399,70.79759083663255
SA1_AR6_fixed_split,SSP1-2.6,S0,Baseline,0.07,65.29285586895425,48.316713343026144,37.16670257155857,4.60159174695487,62.83329742844143
SA1_AR6_fixed_split,SSP1-2.6,S1,"NATO→3.5%, nonNATO holds",0.033,34.608583972103894,25.61035213935688,19.70027087642837,2.4390811561292267,80.29972912357164
SA1_AR6_fixed_split,SSP1-2.6,S1,"NATO→3.5%, nonNATO holds",0.055,57.68097328683983,42.68392023226147,32.83378479404728,4.065135260215378,67.16621520595271
SA1_AR6_fixed_split,SSP1-2.6,S1,"NATO→3.5%, nonNATO holds",0.07,73.41214781961432,54.324989386514595,41.788453374241996,5.17380851300139,58.211546625758004
SA1_AR6_fixed_split,SSP1-2.6,S2,"NATO→3.5%, nonNATO→3.5%",0.033,40.31575785575041,29.833660813255303,22.94896985635023,2.841301029833838,77.05103014364977
SA1_AR6_fixed_split,SSP1-2.6,S2,"NATO→3.5%, nonNATO→3.5%",0.055,67.19292975958403,49.72276802209218,38.24828309391707,4.735501716389732,61.75171690608293
SA1_AR6_fixed_split,SSP1-2.6,S2,"NATO→3.5%, nonNATO→3.5%",0.07,85.51827423947057,63.283522937208225,48.679633028621716,6.0270021844960215,51.320366971378284
SA1_AR6_fixed_split,SSP1-2.6,S3,"NATO→5%, nonNATO→3.5%",0.033,47.492631990708865,35.14454767312456,27.034267440865047,3.3470997783928156,72.96573255913495
SA1_AR6_fixed_split,SSP1-2.6,S3,"NATO→5%, nonNATO→3.5%",0.055,79.15438665118145,58.574246121874275,45.05711240144175,5.578499630654693,54.94288759855825
SA1_AR6_fixed_split,SSP1-2.6,S3,"NATO→5%, nonNATO→3.5%",0.07,100.7419466469582,74.54904051874907,57.34541578365313,7.0999086208332445,42.65458421634687
SA1_AR6_fixed_split,SSP2-4.5,S0,Baseline,0.033,45.695007621052795,33.81430563957907,26.011004338137745,3.2204100609122923,73.98899566186225
SA1_AR6_fixed_split,SSP2-4.5,S0,Baseline,0.055,76.15834603508799,56.35717606596511,43.351673896896244,5.367350101520487,56.648326103103756
SA1_AR6_fixed_split,SSP2-4.5,S0,Baseline,0.07,96.92880404465745,71.72731499304652,55.17485768695886,6.831172856480621,44.82514231304114
SA1_AR6_fixed_split,SSP2-4.5,S1,"NATO→3.5%, nonNATO holds",0.033,51.70657650010396,38.26286661007693,29.43297431544379,3.6440825342930405,70.56702568455621
SA1_AR6_fixed_split,SSP2-4.5,S1,"NATO→3.5%, nonNATO holds",0.055,86.17762750017326,63.77144435012821,49.05495719240632,6.073470890488402,50.94504280759368
SA1_AR6_fixed_split,SSP2-4.5,S1,"NATO→3.5%, nonNATO holds",0.07,109.68061681840236,81.16365644561775,62.43358188124442,7.729872042439785,37.56641811875558
SA1_AR6_fixed_split,SSP2-4.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,60.670019774926764,44.8958146334458,34.535242025727534,4.275791869851981,65.46475797427246
