ssp,scenario_code,E_mil_2035_Gt,military_share_2035_pct,cum_E_mil_2050_Gt,cum_incremental_E_mil_vs_S0_2050_Gt,world_minus_AR6_2050_Gt
SSP1-1.9,S0,1.118015025888421,5.477639116488612,26.999543833831854,0.0,-0.002063921383042455
SSP1-1.9,S1,1.2191815797064223,5.95678016503724,28.54647626776962,1.5469324339377637,0.015930935621764952
SSP1-1.9,S2,1.5718134434614592,7.6063829787209265,34.12143022252977,7.121886388697912,0.09306946253789228
SSP1-1.9,S3,1.7615007318702116,8.480773678681432,37.021928536163074,10.022384702331218,0.12680981942190783
SSP1-2.6,S0,2.2106321839109193,5.4776391164886125,53.77669879178883,0.0,-0.006989505892804004
SSP1-2.6,S1,2.410667098135542,5.956780165037241,57.22216242804013,3.4454636362512963,0.053950392355599064
SSP1-2.6,S2,3.107920112664502,7.6063829787209265,69.88394671494628,16.10724792315744,0.3151813640740464
SSP1-2.6,S3,3.4829855768356697,8.480773678681434,76.34419103291745,22.567492241128623,0.42944367328980704
SSP2-4.5,S0,3.0696751897469228,5.478025301125962,78.80299972751052,0.0,-0.01386211623132283
SSP2-4.5,S1,3.3480319581519904,5.9582123503535565,84.19540878500592,5.392409057495401,0.11579822444530663
SSP2-4.5,S2,4.315331833998112,7.606382978720926,104.10727008535189,25.304270357841357,0.6597503277079397
SSP2-4.5,S3,4.837250774757613,8.482681934120514,114.21803706815575,35.415037340645235,0.9028634664766173
SSP3-7.0,S0,4.048627167552866,5.478067170412767,105.8665753612961,0.0,-0.01837129731960374
SSP3-7.0,S1,4.415839776192721,5.958368520710684,113.30875630481492,7.4421809435188155,0.17971965474632157
SSP3-7.0,S2,5.691492052094759,7.6063829787209265,140.54602947594043,34.67945411464433,0.9777590483288208
SSP3-7.0,S3,6.380015693294487,8.482890454044952,154.5001187450382,48.6335433837421,1.3491795834524254
SSP5-8.5,S0,4.273727596037705,5.477219676006735,116.14845774628697,0.0,-0.027639127057653923
SSP5-8.5,S1,4.659555135322526,5.955223208077161,124.30279199169806,8.1543342454111,0.209613708899127
SSP5-8.5,S2,6.00889345500495,7.606382978720926,155.2132252801766,39.064767533889636,1.2316708861500274
SSP5-8.5,S3,6.73232009116399,8.47869847009471,170.5026019903224,54.35414424403543,1.6765199535689987
