analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining
SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,14.988804778291884,11.091715535935995,8.53208887379692,1.0563538605653329,91.46791112620308
SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.055,24.98134129715314,18.486192559893322,14.220148122994864,1.760589767608888,85.77985187700514
SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.07,31.794434378194907,23.52788143986423,18.0983703383571,2.240750613320403,81.9016296616429
SA2_AR6_dynamic_v32_split,SSP1-1.9,S1,"NATO→3.5%, nonNATO holds",0.033,15.916964238654543,11.778553536604361,9.06042579738797,1.1217670034861296,90.93957420261204
SA2_AR6_dynamic_v32_split,SSP1-1.9,S1,"NATO→3.5%, nonNATO holds",0.055,26.528273731090906,19.63092256100727,15.100709662313285,1.869611672476883,84.89929033768672
SA2_AR6_dynamic_v32_split,SSP1-1.9,S1,"NATO→3.5%, nonNATO holds",0.07,33.76325747593388,24.98481053219107,19.21908502476236,2.379505764970578,80.78091497523764
SA2_AR6_dynamic_v32_split,SSP1-1.9,S2,"NATO→3.5%, nonNATO→3.5%",0.033,19.26193661151063,14.253833092517867,10.964486994244513,1.3575079135731303,89.03551300575549
SA2_AR6_dynamic_v32_split,SSP1-1.9,S2,"NATO→3.5%, nonNATO→3.5%",0.055,32.10322768585105,23.75638848752978,18.274144990407525,2.2625131892885504,81.72585500959248
SA2_AR6_dynamic_v32_split,SSP1-1.9,S2,"NATO→3.5%, nonNATO→3.5%",0.07,40.858653418355885,30.235403529583355,23.25800271506412,2.8795622409127004,76.74199728493588
SA2_AR6_dynamic_v32_split,SSP1-1.9,S3,"NATO→5%, nonNATO→3.5%",0.033,21.002235599690614,15.541654343771054,11.955118725977734,1.480157556549624,88.04488127402226
SA2_AR6_dynamic_v32_split,SSP1-1.9,S3,"NATO→5%, nonNATO→3.5%",0.055,35.00372599948436,25.902757239618424,19.925197876629557,2.4669292609160403,80.07480212337045
SA2_AR6_dynamic_v32_split,SSP1-1.9,S3,"NATO→5%, nonNATO→3.5%",0.07,44.550196726616456,32.96714557769618,25.359342752073985,3.139728150256779,74.64065724792601
SA2_AR6_dynamic_v32_split,SSP1-2.6,S0,Baseline,0.033,30.64127247359234,22.674541630458332,17.441955100352565,2.159480155281746,82.55804489964743
SA2_AR6_dynamic_v32_split,SSP1-2.6,S0,Baseline,0.055,51.06878745598724,37.790902717430555,29.069925167254272,3.5991335921362433,70.93007483274573
SA2_AR6_dynamic_v32_split,SSP1-2.6,S0,Baseline,0.07,64.9966385803474,48.09751254945707,36.998086576505436,4.580715480900674,63.001913423494564
SA2_AR6_dynamic_v32_split,SSP1-2.6,S1,"NATO→3.5%, nonNATO holds",0.033,32.70855065534312,24.204327484953907,18.61871344996454,2.305174046186086,81.38128655003545
SA2_AR6_dynamic_v32_split,SSP1-2.6,S1,"NATO→3.5%, nonNATO holds",0.055,54.51425109223854,40.340545808256515,31.031189083274242,3.8419567436434776,68.96881091672576
SA2_AR6_dynamic_v32_split,SSP1-2.6,S1,"NATO→3.5%, nonNATO holds",0.07,69.3817741173945,51.34251284687193,39.49424065143994,4.889763128273517,60.50575934856006
SA2_AR6_dynamic_v32_split,SSP1-2.6,S2,"NATO→3.5%, nonNATO→3.5%",0.033,40.3056212274868,29.826159708340235,22.943199775646335,2.840586638889546,77.05680022435367
SA2_AR6_dynamic_v32_split,SSP1-2.6,S2,"NATO→3.5%, nonNATO→3.5%",0.055,67.17603537914468,49.71026618056706,38.23866629274389,4.734311064815911,61.76133370725611
SA2_AR6_dynamic_v32_split,SSP1-2.6,S2,"NATO→3.5%, nonNATO→3.5%",0.07,85.49677230072959,63.26761150253989,48.667393463492225,6.025486809765704,51.332606536507775
SA2_AR6_dynamic_v32_split,SSP1-2.6,S3,"NATO→5%, nonNATO→3.5%",0.033,44.18176781826951,32.69450818551944,25.1496216811688,3.113762684335185,74.8503783188312
SA2_AR6_dynamic_v32_split,SSP1-2.6,S3,"NATO→5%, nonNATO→3.5%",0.055,73.63627969711587,54.49084697586574,41.91603613528134,5.1896044738919755,58.08396386471866
SA2_AR6_dynamic_v32_split,SSP1-2.6,S3,"NATO→5%, nonNATO→3.5%",0.07,93.71890143269292,69.35198706019276,53.34768235399442,6.604951148589786,46.65231764600558
SA2_AR6_dynamic_v32_split,SSP2-4.5,S0,Baseline,0.033,45.47515472622452,33.65161449740614,25.885857305697034,3.204915666419633,74.11414269430297
SA2_AR6_dynamic_v32_split,SSP2-4.5,S0,Baseline,0.055,75.79192454370752,56.08602416234357,43.143095509495055,5.341526110699388,56.856904490504945
SA2_AR6_dynamic_v32_split,SSP2-4.5,S0,Baseline,0.07,96.46244941926413,71.38221257025546,54.909394284811896,6.798305959071949,45.090605715188104
SA2_AR6_dynamic_v32_split,SSP2-4.5,S1,"NATO→3.5%, nonNATO holds",0.033,48.71060016072176,36.045844118934106,27.72757239918008,3.4329375351365816,72.27242760081992
SA2_AR6_dynamic_v32_split,SSP2-4.5,S1,"NATO→3.5%, nonNATO holds",0.055,81.18433360120292,60.07640686489016,46.21262066530012,5.721562558560968,53.78737933469988
SA2_AR6_dynamic_v32_split,SSP2-4.5,S1,"NATO→3.5%, nonNATO holds",0.07,103.3255154924401,76.46088146440567,58.81606266492744,7.281988710895779,41.18393733507256
