year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,model_family
2036,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,4.069364227256535,2.828118933067843,6.897483160324377,0.9161991694599309,0.40364019353829117,6.319468342853053,62.6825770902438,69.00204543309685,0.09158378281670355,Original model reference case
2037,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,4.19144515407423,2.9129625010598783,7.104407655134108,0.9070371777653315,0.39960379160290826,6.443961869207258,63.917423858921595,70.36138572812885,0.09158378281670355,Original model reference case
2038,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,4.317188508696457,3.000351376091675,7.3175398847881326,0.8979668059876781,0.3956077536868791,6.570907918030641,65.17659710894235,71.74750502697299,0.09158378281670355,Original model reference case
2039,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,4.446704163957352,3.0903619173744254,7.537066081331778,0.8889871379278014,0.39165167615001034,6.700354804015847,66.46057607198853,73.16093087600437,0.09158378281670357,Original model reference case
2040,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,4.580105288876072,3.1830727748956584,7.763178063771731,0.8800972665485234,0.3877351593885103,6.832351793654959,67.76984942060669,74.60220121426165,0.09158378281670357,Original model reference case
2041,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,4.717508447542354,3.278564958142528,7.996073405684882,0.8712962938830381,0.38385780779462514,6.96694912398996,69.10491545419264,76.0718645781826,0.09158378281670357,Original model reference case
2042,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,4.859033700968625,3.3769219068868037,8.235955607855429,0.8625833309442077,0.3800192297166789,7.104198021732563,70.46628228864023,77.57048031037279,0.09158378281670358,Original model reference case
2043,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,5.004804711997685,3.478229564093408,8.483034276091093,0.8539574976347656,0.37621903741951207,7.244150722760695,71.85446804972645,79.09861877248714,0.09158378281670358,Original model reference case
2044,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,5.154948853357614,3.5825764510162106,8.737525304373825,0.845417922658418,0.372456847045317,7.386860491999081,73.27000107030608,80.65686156230517,0.09158378281670355,Original model reference case
2045,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,5.309597318958343,3.690053744546697,8.999651063505041,0.8369637434318338,0.3687322785748638,7.532381643691464,74.7134200913911,82.24580173508257,0.09158378281670357,Original model reference case
2046,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,5.468885238527093,3.8007553568830974,9.269640595410191,0.8285941059975155,0.36504495578911517,7.680769562072185,76.1852744671915,83.86604402926369,0.09158378281670357,Original model reference case
2047,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,5.6329517956829065,3.914778017589591,9.547729813272497,0.8203081649375403,0.36139450623122404,7.832080722445006,77.68612437419517,85.51820509664017,0.09158378281670358,Original model reference case
2048,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,5.801940349553394,4.032221358117279,9.834161707670674,0.8121050832881649,0.35778056116891177,7.986372712677174,79.21654102436682,87.202913737044,0.09158378281670357,Original model reference case
2049,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,5.975998560039996,4.153187998860798,10.129186558900795,0.8039840324552832,0.35420275555722264,8.143704255116914,80.77710688254686,88.92081113766378,0.09158378281670355,Original model reference case
2050,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.05,0.035,6.155278516841196,4.277783638826621,10.433062155667816,0.7959441921307304,0.35066072800165043,8.304135228942716,82.36841588813303,90.67255111707574,0.09158378281670355,Original model reference case
